unique_id,unique_id_user,reference,regionname1,regionname2,lat,lon,rsl,rsl_er_max,rsl_er_min,age,age_er_max,age_er_min,primary_indicator,secondary_indicator,type_category,type,database,database2,notes
gsl_lgm_5796,hv7094,ludwig_et_al_1981_(as_in_shennan_et_al._2018),3,german_bight,54.94,5.75,-39.89,1.66,1.66,9473,301,351,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5797,aa23872,shennan_et_al_2000_qsr_(as_in_shennan_et_al._2018),3,nw_scotland_(kintail),57.23,-5.41,2.89,1.0,1.0,9476,197,216,isolation_basin,uniquely_defined,,0,holsea,shennan18,
gsl_lgm_5798,beta84198,de_la_vega_leinart_et_al_2007_(as_in_shennan_et_al._2018),3,orkney,58.97,-2.97,-6.82,0.21,0.21,9490,111,194,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5801,srr1424,robinson_1993_(as_in_shennan_et_al._2018),3,forth_valley,56.14,-4.21,6.02,0.21,0.21,9504,40,60,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5802,srr1398,smith_et_al_1985a_b_(as_in_shennan_et_al._2018),3,tay_valley,56.35,-3.31,-0.06,0.21,0.21,9506,39,59,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5804,srr5099,smith_et_al_1999_trsed_(as_in_shennan_et_al._2018),3,aberdeen,57.34,-2.01,-9.81,0.55,0.55,9519,32,48,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5805,beta288887,griffiths_et_al_2015_(as_in_shennan_et_al._2018),3,bristol_channel,51.21,-3.15,-17.09,0.5,0.5,9521,69,63,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5807,srr1399,smith_et_al_1985a_b_(as_in_shennan_et_al._2018),3,tay_valley,56.35,-3.31,-0.14,0.41,0.41,9530,132,70,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5809,suerc2498,roberts_et_al_2011_jqs_(as_in_shennan_et_al._2018),3,n_wales,53.25,-4.1,-16.67,0.5,0.5,9541,81,52,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5811,beta96325,smith_et_al_2002_trse_(as_in_shennan_et_al._2018),3,n_solway_firth,54.93,-4.4,-4.51,0.21,0.21,9561,204,128,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5812,hv4346,tooley_1974_1978_(as_in_shennan_et_al._2018),3,lancashire,53.76,-3.0,-14.01,0.21,0.21,9573,329,253,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5813,srr70,jardine_1982_(as_in_shennan_et_al._2018),3,tay_valley,56.45,-3.09,-4.32,0.3,0.3,9582,114,79,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5814,beta96323,smith_et_al_2002_trse_(as_in_shennan_et_al._2018),3,n_solway_firth,54.91,-4.46,-1.17,0.21,0.21,9594,293,150,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5815,srr1429,robinson_1993_(as_in_shennan_et_al._2018),3,forth_valley,56.14,-4.2,3.81,0.21,0.21,9632,250,96,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5816,suerc2497,roberts_et_al_2011_jqs_(as_in_shennan_et_al._2018),3,n_wales,53.25,-4.1,-16.37,0.21,0.21,9643,240,100,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5818,beta153394,waller_&_kirby_2002_(as_in_shennan_et_al._2018),3,kent,50.95,0.72,-28.68,0.21,0.21,9671,215,121,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5820,hv3361,tooley_1974_1978_(as_in_shennan_et_al._2018),3,morecambe_bay,54.18,-3.03,-21.09,1.0,1.0,9733,385,189,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5821,i1839,sissons_&_brooks_1971_(as_in_shennan_et_al._2018),3,forth_valley,56.14,-4.21,3.9,0.21,0.21,9741,421,261,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5822,hv3356,tooley_1974_1978_(as_in_shennan_et_al._2018),3,morecambe_bay,54.16,-3.02,-20.03,1.13,1.13,9752,466,419,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5825,srr2452,devoy_1982_(as_in_shennan_et_al._2018),3,sussex,50.79,0.33,-28.15,0.23,0.23,9778,340,220,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
